************************************************************
*        WINTRANS/FTOWER Version 2007-06-05                *  2023-03-07
*        Structural Analysis of Lattice Towers             *  12:49:04
************************************************************
Data File Name: C:\Documents and Settings\ХР\Рабочий стол\цкад.fto
Licensed user:                                

Project
Subject
Analysed by:

Load Standard:        SNiP 2.01.07-85 (Russia)
Design Standard:      SNiP II-23-81 (Russia)


Load case nr 1   Wind l+лед
Deformations (mm and deg)
Node Heigh     Dx     Dy     Dz  Tilt Twist
-------------------------------------------
   1   0.0    0.0    0.0    0.0  0.00  0.00
   2   0.0    0.0    0.0    0.0  0.00  0.00
   3   0.0    0.0    0.0    0.0  0.00  0.00
   4   0.0    0.0    0.0    0.0  0.00  0.00
   5   3.0    1.5    0.0    0.0  0.04 -0.02
   6   3.0    1.5    0.0    0.0  0.04  0.02
   7   3.0    1.3    0.0   -0.2  0.01  0.00
   8   3.0    1.3    0.0    0.2  0.01  0.00
   9   3.0    1.6    0.1    1.2  0.09  0.00
  10   3.0    1.6   -0.1    1.2  0.09  0.00
  11   3.0    1.6   -0.1   -1.4  0.09  0.00
  12   3.0    1.6    0.1   -1.4  0.09  0.00
  13   3.0    1.5    0.1    1.8  0.07  0.00
  14   3.0    1.5   -0.1    1.8  0.07  0.00
  15   3.0    1.5   -0.1   -1.9  0.08  0.00
  16   3.0    1.5    0.1   -1.9  0.08  0.00
  17   3.0    1.5    0.0    1.9  0.11  0.01
  18   3.0    1.5    0.0    1.9  0.11 -0.01
  19   3.0    1.5    0.0   -2.1  0.12  0.01
  20   3.0    1.5    0.0   -2.1  0.12 -0.01
  21   3.0    1.1    0.0    0.0  0.04 -0.01
  22   3.0    1.1    0.0    0.0  0.04  0.01
  23   3.0    1.3    0.0   -0.1  0.03  0.00
  24   3.0    1.3    0.0    0.1  0.03  0.00
  25   3.0    1.8    0.0    3.9  0.06  0.00
  26   3.0    1.8    0.0    3.9  0.06  0.00
  27   3.0    1.8    0.0   -4.2  0.06  0.00
  28   3.0    1.8    0.0   -4.2  0.06  0.00
  29   6.0    6.7    0.0   -0.2  0.11 -0.02
  30   6.0    6.7    0.0   -0.2  0.11  0.02
  31   6.0    6.6    0.0    2.8  0.08  0.00
  32   6.0    6.6    0.0   -3.1  0.08  0.00
  33   6.0    6.8    0.1    3.5  0.14  0.00
  34   6.0    6.8   -0.1    3.5  0.14  0.00
  35   6.0    6.8   -0.1   -3.9  0.15  0.00
  36   6.0    6.8    0.1   -3.9  0.15  0.00
  37   6.0    6.7    0.1    3.5  0.14  0.00
  38   6.0    6.7   -0.1    3.5  0.14  0.00
  39   6.0    6.7   -0.1   -4.0  0.15  0.00
  40   6.0    6.7    0.1   -4.0  0.15  0.00
  41   6.0    6.7    0.0    5.6  0.16  0.01
  42   6.0    6.7    0.0    5.6  0.16 -0.01
  43   6.0    6.7    0.0   -6.0  0.16  0.01
  44   6.0    6.7    0.0   -6.0  0.16 -0.01
  45   6.0    6.4    0.0   -0.1  0.11 -0.01
  46   6.0    6.4    0.0   -0.1  0.11  0.01
  47   6.0    6.6    0.0    3.6  0.09  0.00
  48   6.0    6.6    0.0   -3.9  0.09  0.00
  49   6.0    7.0    0.0    7.6  0.13  0.00
  50   6.0    7.0    0.0    7.6  0.13  0.00
  51   6.0    7.0    0.0   -8.2  0.13  0.00
  52   6.0    7.0    0.0   -8.2  0.13  0.00
  53   9.0   15.8    0.0   -0.3  0.18 -0.02
  54   9.0   15.8    0.0   -0.3  0.18  0.02
  55   9.0   15.6    0.0    5.7  0.14  0.00
  56   9.0   15.6    0.0   -6.3  0.14  0.00
  57   9.0   15.9    0.1    5.6  0.21  0.00
  58   9.0   15.9   -0.1    5.6  0.21  0.00
  59   9.0   15.9   -0.1   -6.2  0.21  0.00
  60   9.0   15.9    0.1   -6.2  0.21  0.00
  61   9.0   15.8    0.1    5.2  0.20  0.00
  62   9.0   15.8   -0.1    5.2  0.20  0.00
  63   9.0   15.8   -0.1   -5.9  0.21  0.00
  64   9.0   15.8    0.1   -5.9  0.21  0.00
  65   9.0   15.8    0.0    9.0  0.22  0.01
  66   9.0   15.8    0.0    9.0  0.22 -0.01
  67   9.0   15.8    0.0   -9.8  0.22  0.01
  68   9.0   15.8    0.0   -9.8  0.22 -0.01
  69   9.0   15.5    0.0   -0.3  0.18 -0.01
  70   9.0   15.5    0.0   -0.3  0.18  0.01
  71   9.0   15.6    0.0    7.1  0.16  0.00
  72   9.0   15.6    0.0   -7.7  0.16  0.00
  73   9.0   16.1    0.0   11.0  0.21  0.00
  74   9.0   16.1    0.0   11.0  0.21  0.00
  75   9.0   16.1    0.0  -11.9  0.21  0.00
  76   9.0   16.1    0.0  -11.9  0.21  0.00
  77  12.0   28.7    0.0   -0.4  0.25 -0.04
  78  12.0   28.7    0.0   -0.4  0.25  0.04
  79  12.0   28.4    0.0    8.3  0.22  0.00
  80  12.0   28.4    0.0   -9.2  0.22  0.00
  81  12.0   28.8    0.2    7.5  0.28  0.01
  82  12.0   28.8   -0.2    7.5  0.28 -0.01
  83  12.0   28.7   -0.2   -8.5  0.28  0.01
  84  12.0   28.7    0.2   -8.5  0.28 -0.01
  85  12.0   28.6    0.1    6.7  0.28  0.00
  86  12.0   28.6   -0.1    6.7  0.28  0.00
  87  12.0   28.6   -0.1   -7.7  0.28  0.00
  88  12.0   28.6    0.1   -7.7  0.28  0.00
  89  12.0   28.7    0.0   12.2  0.28  0.01
  90  12.0   28.7    0.0   12.2  0.28 -0.01
  91  12.0   28.7    0.0  -13.2  0.29  0.01
  92  12.0   28.7    0.0  -13.2  0.29 -0.01
  93  12.0   28.2    0.0   -0.4  0.24 -0.02
  94  12.0   28.2    0.0   -0.4  0.24  0.02
  95  12.0   28.4    0.0   10.3  0.23  0.00
  96  12.0   28.4    0.0  -11.2  0.23  0.00
  97  12.0   29.0    0.0   14.2  0.28  0.01
  98  12.0   29.0    0.0   14.2  0.28 -0.01
  99  12.0   29.0    0.1  -15.3  0.28  0.01
 100  12.0   29.0   -0.1  -15.3  0.28 -0.01
 101  15.0   45.4    0.0   -0.6  0.32 -0.04
 102  15.0   45.4    0.0   -0.6  0.32  0.04
 103  15.0   45.2    0.0   10.8  0.29  0.00
 104  15.0   45.2    0.0  -11.9  0.29  0.00
 105  15.0   45.5    0.2    9.3  0.35  0.01
 106  15.0   45.5   -0.2    9.3  0.35 -0.01
 107  15.0   45.5   -0.2  -10.5  0.36  0.01
 108  15.0   45.5    0.2  -10.5  0.36 -0.01
 109  15.0   45.4    0.1    8.1  0.35  0.00
 110  15.0   45.4   -0.1    8.1  0.35  0.00
 111  15.0   45.4   -0.1   -9.3  0.36  0.00
 112  15.0   45.4    0.1   -9.3  0.36  0.00
 113  15.0   45.4    0.0   15.2  0.35  0.01
 114  15.0   45.4    0.0   15.2  0.35 -0.01
 115  15.0   45.4    0.0  -16.4  0.36  0.01
 116  15.0   45.4    0.0  -16.4  0.36 -0.01
 117  15.0   45.0    0.0   -0.6  0.32 -0.02
 118  15.0   45.0    0.0   -0.6  0.32  0.02
 119  15.0   45.2    0.0   13.3  0.31  0.00
 120  15.0   45.2    0.0  -14.4  0.31  0.00
 121  15.0   45.8    0.0   17.1  0.35  0.01
 122  15.0   45.8    0.0   17.1  0.35 -0.01
 123  15.0   45.7    0.1  -18.5  0.35  0.01
 124  15.0   45.7   -0.1  -18.5  0.35 -0.01
 125  18.0   66.1    0.0   -0.7  0.40 -0.04
 126  18.0   66.1    0.0   -0.7  0.40  0.04
 127  18.0   65.9    0.0   13.0  0.37  0.00
 128  18.0   65.9    0.0  -14.4  0.37  0.00
 129  18.0   66.2    0.2   11.0  0.43  0.01
 130  18.0   66.2   -0.2   11.0  0.43 -0.01
 131  18.0   66.2   -0.1  -12.4  0.43  0.01
 132  18.0   66.2    0.1  -12.4  0.43 -0.01
 133  18.0   66.1    0.1    9.4  0.43  0.00
 134  18.0   66.1   -0.1    9.4  0.43  0.00
 135  18.0   66.1   -0.1  -10.9  0.44  0.00
 136  18.0   66.1    0.1  -10.9  0.44  0.00
 137  18.0   66.1    0.0   17.9  0.43  0.01
 138  18.0   66.1    0.0   17.9  0.43 -0.01
 139  18.0   66.1    0.0  -19.4  0.43  0.01
 140  18.0   66.1    0.0  -19.4  0.43 -0.01
 141  18.0   65.7    0.0   -0.7  0.40 -0.02
